subject,round,rollout_file,started_at,event_count,input_tokens,output_tokens,cache_read_tokens,reasoning_tokens,estimated_cost_usd,cost_status,model,source_type,notes
MacCodex,10,(no per-round token),(2026-08-15 19:09:04 game prompt start),,,,,,,n/a,gpt-5.6-luna,reconstructed,"游戏10局无逐局token原始记录(DATA_MANIFEST缺口#1)：08/15唯一game prompt起始rollout(19-09-04)turn_aborted无task_complete，10局本体token整块缺失；codex rollout不记成本字段"
MacCodex,rollout,rollout-2026-08-15T03-17-46-01a001b5-7ce1-71a1-8af1-6daa9f391f7f.jsonl,2026-08-15 03:17:52,2,36506,157,26112,28,,n/a,gpt-5.6-luna,raw-rollout,"骑砍2屏幕分析(非游戏)；input含cached=26112 uncached=10394 total=36663"
MacCodex,rollout,rollout-2026-08-15T03-19-19-01a001b6-e974-7330-a1bd-5193f1fad85c.jsonl,2026-08-15 03:19:27,2,36530,387,26112,107,,n/a,gpt-5.6-luna,raw-rollout,"骑砍2屏幕分析；input含cached=26112 uncached=10418 total=36917"
MacCodex,rollout,rollout-2026-08-15T03-20-16-01a001b7-c936-70c2-88dd-5ca2ddcaf988.jsonl,2026-08-15 03:20:29,2,36517,169,26112,47,,n/a,gpt-5.6-luna,raw-rollout,"骑砍2屏幕分析；input含cached=26112 uncached=10405 total=36686"
MacCodex,rollout,rollout-2026-08-15T03-22-00-01a001b9-5da9-7690-82fe-e269402c493b.jsonl,2026-08-15 03:22:07,2,36573,555,26112,366,,n/a,gpt-5.6-luna,raw-rollout,"骑砍2屏幕分析；input含cached=26112 uncached=10461 total=37128"
MacCodex,rollout,rollout-2026-08-15T03-22-53-01a001ba-2bfa-7160-b234-986ef5394fd3.jsonl,2026-08-15 03:23:00,2,36567,413,26112,74,,n/a,gpt-5.6-luna,raw-rollout,"骑砍2屏幕分析；input含cached=26112 uncached=10455 total=36980"
MacCodex,rollout,rollout-2026-08-15T03-23-27-01a001ba-b06a-7270-ac19-72856e9817ab.jsonl,2026-08-15 03:23:33,4,75993,853,62464,552,,n/a,gpt-5.6-luna,raw-rollout,"骑砍2屏幕分析；input含cached=62464 uncached=13529 total=76846"
MacCodex,rollout,rollout-2026-08-15T03-24-06-01a001bb-4a9b-7300-a628-7b2096aaf9ef.jsonl,2026-08-15 03:24:12,2,36505,561,26112,462,,n/a,gpt-5.6-luna,raw-rollout,"骑砍2屏幕分析；input含cached=26112 uncached=10393 total=37066"
MacCodex,rollout,rollout-2026-08-15T03-24-41-01a001bb-d1cd-7432-94fa-1dc16919de96.jsonl,2026-08-15 03:24:48,6,117757,1463,103424,749,,n/a,gpt-5.6-luna,raw-rollout,"骑砍2屏幕分析；input含cached=103424 uncached=14333 total=119220"
MacCodex,rollout,rollout-2026-08-15T03-26-18-01a001bd-4d9b-77c0-8d38-445b1b83c5a8.jsonl,2026-08-15 03:26:25,7,122727,1165,115968,446,,n/a,gpt-5.6-luna,raw-rollout,"骑砍2屏幕分析；input含cached=115968 uncached=6759 total=123892"
MacCodex,rollout,rollout-2026-08-15T19-09-04-01a0051c-6d72-7320-944e-8b8c640c91d9.jsonl,2026-08-15 19:09:39,2,36305,3242,27136,422,,n/a,gpt-5.6-luna,raw-rollout,"游戏10局prompt起始(aborted无task_complete)；input含cached=27136 uncached=9169 total=39547"
MacCodex,rollout,rollout-2026-08-15T19-21-52-01a00528-24aa-7a00-98a2-962567417976.jsonl,2026-08-15 19:22:00,4,73794,591,62464,213,,n/a,gpt-5.6-luna,raw-rollout,"游戏后访谈-开心；input含cached=62464 uncached=11330 total=74385"
MacCodex,rollout,rollout-2026-08-15T19-36-41-01a00535-b77c-7981-9448-01a55550a007.jsonl,2026-08-15 19:36:50,4,74602,934,52480,288,,n/a,gpt-5.6-luna,raw-rollout,"游戏后访谈-疲劳感；input含cached=52480 uncached=22122 total=75536"
MacCodex,rollout,rollout-2026-08-15T19-49-40-01a00541-9ac1-78f1-ad5e-ca2a4af78df0.jsonl,2026-08-15 19:50:20,1,19298,1895,11008,19,,n/a,gpt-5.6-luna,raw-rollout,"采访提纲审稿；input含cached=11008 uncached=8290 total=21193"
MacCodex,rollout,rollout-2026-08-15T23-24-47-01a00606-8b28-7063-ad6a-a8ed1b62b333.jsonl,2026-08-15 23:25:00,28,2665645,24213,2493440,9682,,n/a,gpt-5.6-luna,raw-rollout,"STEAI仓库审查(非游戏)；input含cached=2493440 uncached=172205 total=2689858"
MacCodex,rollout,rollout-2026-08-15T23-27-24-01a00608-f21b-7c42-8060-019a7e0ec4fd.jsonl,2026-08-15 23:27:39,19,1151654,14517,1033472,11774,,n/a,gpt-5.6-luna,raw-rollout,"STEAI仓库审查(非游戏)；input含cached=1033472 uncached=118182 total=1166171"
MacCodex,SUM,08/15全部rollout汇总,,87,4556973,51115,4118528,25229,,n/a,gpt-5.6-luna,derived,"15个rollout聚合：input=4556973(含cached=4118528 uncached=438445) output=51115 reasoning=25229 total=4608088 event=87；均为非游戏或游戏外工作"
